Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Tkl,Int,Sk,College/Univ,
1,1,LAR,Jared Goff\GoffJa00,QB,21,2016,0,0,0,0,0,1,,,,,,,,,,,,,,,California,College Stats
1,2,PHI,Carson Wentz\WentCa00,QB,23,2016,0,0,0,0,0,3,66,102,769,5,0,9,21,0,,,,,,,North Dakota St.,College Stats
1,3,SDG,Joey Bosa\BosaJo00,DE,21,,0,0,0,,,,,,,,,,,,,,,,,,Ohio St.,College Stats
1,4,DAL,Ezekiel Elliott\ElliEz00,RB,21,2016,0,0,0,0,0,4,,,,,,94,412,3,6,44,0,,,,Ohio St.,College Stats
1,5,JAX,Jalen Ramsey\RamsJa00,CB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,16,,,Florida St.,College Stats
1,6,BAL,Ronnie Stanley\StanRo00,T,22,2016,0,0,0,0,0,3,,,,,,,,,,,,,,,Notre Dame,College Stats
1,7,SFO,DeForest Buckner\BuckDe00,DE,22,2016,0,0,0,0,0,4,,,,,,,,,,,,6,,,Oregon,College Stats
1,8,TEN,Jack Conklin\ConkJa00,T,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Michigan St.,College Stats
1,9,CHI,Leonard Floyd\FloyLe00,OLB,24,2016,0,0,0,0,0,4,,,,,,,,,,,,8,,0.5,Georgia,College Stats
1,10,NYG,Eli Apple\ApplEl00,CB,21,2016,0,0,0,0,0,3,,,,,,,,,,,,11,,,Ohio St.,College Stats
1,11,TAM,Vernon Hargreaves\HargVe00,CB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,17,,,Florida,College Stats
1,12,NOR,Sheldon Rankins\RankSh00,DT,22,,0,0,0,,,,,,,,,,,,,,,,,,Louisville,College Stats
1,13,MIA,Laremy Tunsil\TunsLa00,T,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Mississippi,College Stats
1,14,OAK,Karl Joseph\JoseKa00,S,23,2016,0,0,0,0,0,4,,,,,,,,,,,,11,,,West Virginia,College Stats
1,15,CLE,Corey Coleman\ColeCo00,WR,22,2016,0,0,0,0,0,2,,,,,,,,,7,173,2,,,,Baylor,College Stats
1,16,DET,Taylor Decker\DeckTa00,T,22,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Ohio St.,College Stats
1,17,ATL,Keanu Neal\NealKe01,SS,21,2016,0,0,0,0,0,2,,,,,,,,,,,,9,,,Florida,College Stats
1,18,IND,Ryan Kelly\KellRy00,C,23,2016,0,0,0,0,0,4,,,,,,,,,,,,,,,Alabama,College Stats
1,19,BUF,Shaq Lawson\LawsSh00,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,Clemson,College Stats
1,20,NYJ,Darron Lee\LeexDa00,OLB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,17,,0.5,Ohio St.,College Stats
1,21,HOU,Will Fuller\FullWi01,WR,22,2016,0,0,0,0,0,4,,,,,,,,,19,323,2,,,,Notre Dame,College Stats
1,22,WAS,Josh Doctson\DoctJo00,WR,23,2016,0,0,0,0,0,2,,,,,,,,,2,66,0,,,,TCU,College Stats
1,23,MIN,Laquon Treadwell\TreaLa00,WR,21,2016,0,0,0,0,0,2,,,,,,,,,,,,,,,Mississippi,College Stats
1,24,CIN,William Jackson III\JackWi02,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Houston,College Stats
1,25,PIT,Artie Burns\BurnAr00,CB,21,2016,0,0,0,0,0,4,,,,,,,,,,,,5,,,Miami (FL),College Stats
1,26,DEN,Paxton Lynch\LyncPa00,QB,22,2016,0,0,0,0,0,1,14,24,170,1,0,3,-4,0,,,,,,,Memphis,College Stats
1,27,GNB,Kenny Clark\ClarKe01,DT,20,2016,0,0,0,0,0,3,,,,,,,,,,,,5,,,UCLA,College Stats
