Name,School,Position,Height,Weight,Conference
Montravius Adams,Auburn,DT,6-4,309,SEC
Rodney Adams,South Florida,WR,6-1,190,AAC
Keion Adams,Western Michigan,OLB,6-2,245,MAC
Quincy Adeboyejo,Ole Miss,WR,6-3,195,SEC
Jonathan Allen,Alabama,DE,6-3,291,SEC
Chance Allen,Houston,WR,6-3,215,AAC
Chase Allen,Southern Illinois,ILB,6-4,241,FCS
DaShaun Amos,East Carolina,DC,6-1,185,AAC
Ryan Anderson,Alabama,OLB,6-2,253,SEC
Nate Andrews,Florida State,S,6-0,214,ACC
Tony Annese,Central Michigan,S,6-1,215,MAC
Kareem Are,Florida State,OG,6-6,325,ACC
Isaac Asiata,Utah,OC,6-3,323,Pac-12
Josh Atkinson,Tulsa,WR,6-2,208,AAC
Josh Augusta,Missouri,DT,6-4,345,SEC
Chidobe Awuzie,Colorado,DC,6-0,205,Pac-12
Bobby Baker,Georgia State,S,6-2,200,Sun Belt
Zach Banner,USC,OT,6-9,360,Pac-12
Dante Barnett,Kansas State,S,6-1,194,Big 12
Tarell Basham,Ohio,DE,6-4,260,MAC
C.J. Beathard,Iowa,QB,6-2,215,Big Ten
Kendell Beckwith,LSU,ILB,6-3,247,SEC
Brandon Bell,Penn State,OLB,6-1,233,Big Ten
Collin Bevins,Northwest Missouri State,DT,6-6,286,Division II
Vince Biegel,Wisconsin,OLB,6-4,245,Big Ten
Adam Bisnowaty,Pittsburgh,OT,6-6,305,ACC
Deyshawn Bond,Cincinnati,OC,6-1,292,AAC
Breon Borders,Duke,DC,6-0,180,ACC
Chris Borrayo,California,OG,6-3,325,Pac-12
Joel Bouagnon,Northern Illinois,RB,6-2,228,MAC
Ben Boulware,Clemson,ILB,6-0,235,ACC
Tashawn Bower,LSU,OLB,6-6,253,SEC
Tyus Bowser,Houston,OLB,6-3,240,AAC
"Paul Boyette, Jr.",Texas,DT,6-3,317,Big 12
Ben Braden,Michigan,OG,6-6,335,Big Ten
Matt Breida,Georgia Southern,RB,5-11,190,Sun Belt
Tony Bridges,Ole Miss,DC,6-0,185,SEC
DeAngelo Brown,Louisville,DT,6-1,310,ACC
Fadol Brown,Ole Miss,DE,6-4,273,SEC
Richie Brown,Mississippi State,ILB,6-2,240,SEC
Pharaoh Brown,Oregon,TE,6-6,250,Pac-12
Keith Brown,Western Kentucky,ILB,6-1,240,C-USA
Riley Bullough,Michigan State,ILB,6-2,227,Big Ten
Freddie Burden,Georgia Tech,OC,6-4,299,ACC
Adam Butler,Vanderbilt,DT,6-5,295,SEC
Jake Butt,Michigan,TE,6-6,250,Big Ten
Nick Callender,Colorado State,OT,6-6,325,MW
Johnathan Calvin,Mississippi State,DE,6-3,272,SEC
Dimitric Camiel,Indiana,OT,6-7,320,Big Ten
Josh Carraway,TCU,DE,6-4,250,Big 12
Jamal Carter,Miami,S,6-1,215,ACC
Johnny Caspers,Stanford,OC,6-4,300,Pac-12
Taco Charlton,Michigan,DE,6-6,272,Big Ten
Jehu Chesson,Michigan,WR,6-3,203,Big Ten
Chuck Clark,Virginia Tech,S,6-0,205,ACC
Jamaal Clayborn,Mississippi State,OC,6-4,315,SEC
Corey Clement,Wisconsin,RB,5-11,227,Big Ten
"Jarrod ""Chunky"" Clements",Illinois,DT,6-3,295,Big Ten
Tarik Cohen,North Carolina A&T;,RB,5-6,179,FCS
Dylan Cole,Missouri State,ILB,6-1,240,FCS
Stacy Coley,Miami,WR,6-1,195,ACC
Tony Conner,Ole Miss,S,6-0,225,SEC
Marcus Cox,Appalachian State,RB,5-10,205,Sun Belt
Demetrious Cox,Michigan State,S,6-1,197,Big Ten
